,Year,G,Pos,AST,BLK,Player,FG,STL,PTS,TRB,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
471,1981.0,47.0,PG,235.0,1.0,Rickey Green,176.0,75.0,422.0,116.0,7.659574468085108,1.472340425531915,9.131914893617024,8.97872340425532,5.0,2.4680851063829787,0.02127659574468085,1.5957446808510638,3.7446808510638303
624,1981.0,36.0,SG,75.0,2.0,Stan Pietkiewicz,55.0,15.0,140.0,41.0,3.2916666666666665,0.5972222222222223,3.888888888888889,3.888888888888889,2.083333333333333,1.1388888888888888,0.05555555555555555,0.4166666666666667,1.5277777777777777
1919,1985.0,81.0,SG,231.0,12.0,Mike Evans,323.0,65.0,816.0,119.0,8.020987654320987,0.8728395061728396,8.893827160493826,10.074074074074074,2.851851851851852,1.469135802469136,0.14814814814814814,0.8024691358024691,3.9876543209876543
839,1982.0,81.0,SG,276.0,39.0,Ernie Grunfeld,420.0,72.0,1030.0,182.0,10.101234567901235,1.3098765432098765,11.411111111111113,12.716049382716047,3.4074074074074074,2.2469135802469142,0.4814814814814815,0.8888888888888888,5.185185185185184
3166,1988.0,70.0,C,118.0,23.0,Tim McCormick,348.0,32.0,841.0,467.0,9.244285714285713,2.9042857142857144,12.148571428571428,12.014285714285714,1.6857142857142855,6.671428571428572,0.32857142857142857,0.4571428571428571,4.971428571428572
2510,1986.0,80.0,C,55.0,106.0,Melvin Turpin,456.0,65.0,1097.0,556.0,10.30625,3.42125,13.7275,13.7125,0.6875,6.95,1.325,0.8125,5.7
1794,1984.0,32.0,PG,43.0,3.0,Bryan Warrick,27.0,9.0,63.0,22.0,1.7312499999999995,0.3875,2.11875,1.96875,1.34375,0.6875,0.09375,0.28125,0.84375
2493,1986.0,6.0,SG,12.0,1.0,Jim Thomas,6.0,5.0,13.0,8.0,2.0166666666666666,0.8333333333333334,2.85,2.1666666666666665,2.0,1.3333333333333333,0.16666666666666666,0.8333333333333334,1.0
2922,1987.0,33.0,SG,139.0,5.0,Gus Williams,53.0,17.0,138.0,40.0,3.9303030303030297,0.6848484848484849,4.6151515151515135,4.181818181818182,4.212121212121212,1.2121212121212122,0.15151515151515152,0.5151515151515151,1.606060606060606
2737,1987.0,66.0,PF,53.0,12.0,Tim Kempton,97.0,38.0,289.0,194.0,3.372727272727273,1.403030303030303,4.775757575757575,4.378787878787879,0.803030303030303,2.9393939393939394,0.18181818181818185,0.5757575757575758,1.4696969696969695
531,1981.0,14.0,PG,46.0,1.0,Eddie Jordan,30.0,24.0,87.0,18.0,5.2214285714285715,1.05,6.2714285714285705,6.2142857142857135,3.2857142857142856,1.2857142857142858,0.07142857142857142,1.7142857142857142,2.142857142857143
313,1980.0,33.0,SG,20.0,5.0,Earl Tatum,36.0,16.0,85.0,26.0,2.033333333333333,0.506060606060606,2.539393939393939,2.575757575757576,0.6060606060606061,0.7878787878787878,0.15151515151515152,0.4848484848484849,1.0909090909090908
1229,1983.0,65.0,C,36.0,41.0,Steve Hayes,104.0,17.0,237.0,236.0,2.8230769230769237,1.72,4.543076923076923,3.6461538461538465,0.5538461538461539,3.630769230769231,0.6307692307692307,0.26153846153846155,1.6
1125,1983.0,37.0,SF,70.0,1.0,Allan Bristow,44.0,6.0,104.0,59.0,2.464864864864865,0.6945945945945947,3.1594594594594594,2.810810810810811,1.891891891891892,1.5945945945945943,0.027027027027027032,0.16216216216216214,1.1891891891891893
3000,1988.0,29.0,SF,13.0,6.0,Norris Coleman,66.0,11.0,153.0,81.0,4.010344827586207,1.293103448275862,5.303448275862069,5.275862068965517,0.4482758620689655,2.7931034482758617,0.20689655172413796,0.3793103448275862,2.2758620689655173
